"","treatment","groupID","round","contribution","endowment","share","stock","gain","bot_active","disaster","EWE","noComprehension"
"180","Hi000","Hi000_26",10,51,188.25,0.269011524605115,214.25,26,0,0,0,0
"181","Hi000","Hi000_27",1,16,20,0.8,28,8,0,0,0,1
"182","Hi000","Hi000_27",2,15.25,28,0.546946268929028,35.75,7.75,0,0,0,1
"183","Hi000","Hi000_27",3,26.75,35.75,0.747522522522522,50,14.25,0,0,0,1
"184","Hi000","Hi000_27",4,26.25,50,0.524717425431711,63.75,13.75,0,0,0,1
"185","Hi000","Hi000_27",5,33.25,63.75,0.523031842033975,80.5,16.75,0,0,0,1
"186","Hi000","Hi000_27",6,43.25,80.5,0.53498282268529,102.25,21.75,0,0,0,1
"187","Hi000","Hi000_27",7,44,102.25,0.427147999544004,124.25,22,0,0,0,1
"188","Hi000","Hi000_27",8,47.5,124.25,0.380995752375777,148.75,24.5,0,0,0,1
"189","Hi000","Hi000_27",9,42.5,148.75,0.285792996678672,170.25,21.5,0,0,0,1
"190","Hi000","Hi000_27",10,50.25,170.25,0.295706054720344,196,25.75,0,0,0,1
"191","Hi000","Hi000_28",1,11.75,20,0.5875,26.25,6.25,0,0,0,0
"192","Hi000","Hi000_28",2,15.5,26.25,0.580319215392304,34.75,8.5,0,0,0,0
"193","Hi000","Hi000_28",3,18.5,34.75,0.532500415161706,44.25,9.5,0,0,0,0
"194","Hi000","Hi000_28",4,29.25,44.25,0.668108338060125,59,14.75,0,0,0,0
"195","Hi000","Hi000_28",5,27.25,59,0.463646950875212,72.75,13.75,0,0,0,0
"196","Hi000","Hi000_28",6,37.25,72.75,0.510031450718543,91.5,18.75,0,0,0,0
"197","Hi000","Hi000_28",7,40,91.5,0.438661599357909,111.5,20,0,0,0,0
"198","Hi000","Hi000_28",8,40.25,111.5,0.364224149014354,132.25,20.75,0,0,0,0
"199","Hi000","Hi000_28",9,45.75,132.25,0.343358721624851,155.5,23.25,0,0,0,0
"200","Hi000","Hi000_28",10,42,155.5,0.272520895318262,176.5,21,0,0,0,0
"201","Hi000","Hi000_29",1,12.25,20,0.6125,26.75,6.75,0,0,0,0
"202","Hi000","Hi000_29",2,20,26.75,0.737321937321937,36.75,10,0,0,0,0
"203","Hi000","Hi000_29",3,22.25,36.75,0.610095389507154,48.5,11.75,0,0,0,0
"204","Hi000","Hi000_29",4,32,48.5,0.660254721124286,64.5,16,0,0,0,0
"205","Hi000","Hi000_29",5,39.5,64.5,0.610199369907171,85,20.5,0,0,0,0
"206","Hi000","Hi000_29",6,44,85,0.516593041415306,107,22,0,0,0,0
"207","Hi000","Hi000_29",7,51.75,107,0.483097064077744,133.25,26.25,0,0,0,0
"208","Hi000","Hi000_29",8,52.5,133.25,0.392203232637243,159.75,26.5,0,0,0,0
"209","Hi000","Hi000_29",9,55.75,159.75,0.350784557615024,188,28.25,0,0,0,0
"210","Hi000","Hi000_29",10,55,188,0.292732358300079,216,28,0,0,0,0
"211","Hi000","Hi000_3",1,12.25,20,0.6125,26.75,6.75,0,0,0,1
"212","Hi000","Hi000_3",2,14.25,26.75,0.532857142857143,34.5,7.75,0,0,0,1
"213","Hi000","Hi000_3",3,21.25,34.5,0.61770435446906,45.25,10.75,0,0,0,1
"214","Hi000","Hi000_3",4,21.5,45.25,0.475494227994228,56.75,11.5,0,0,0,1
"215","Hi000","Hi000_3",5,26.75,56.75,0.476425302368632,71,14.25,0,0,0,1
"216","Hi000","Hi000_3",6,32.5,71,0.452557182419611,87.5,16.5,0,0,0,1
"217","Hi000","Hi000_3",7,44.5,87.5,0.504435235141311,110,22.5,0,0,0,1
"218","Hi000","Hi000_3",8,43.5,110,0.399891774891775,132.5,22.5,0,0,0,1
"219","Hi000","Hi000_3",9,40.25,132.5,0.29766160025025,153.25,20.75,0,0,0,1
"220","Hi000","Hi000_3",10,50,153.25,0.32666933090211,178.25,25,0,0,0,1
"221","Hi000","Hi000_30",1,15,20,0.75,28,8,0,0,0,1
"222","Hi000","Hi000_30",2,18.5,28,0.667881944444444,37.5,9.5,0,0,0,1
"223","Hi000","Hi000_30",3,22.25,37.5,0.598611395777823,49.25,11.75,0,0,0,1
"224","Hi000","Hi000_30",4,29.25,49.25,0.584279656661632,64,14.75,0,0,0,1
"225","Hi000","Hi000_30",5,36.25,64,0.570634920634921,82.75,18.75,0,0,0,1
"226","Hi000","Hi000_30",6,34.75,82.75,0.415340989786631,101,18.25,0,0,0,1
"227","Hi000","Hi000_30",7,42.25,101,0.41929215015325,122.75,21.75,0,0,0,1
"228","Hi000","Hi000_30",8,41,122.75,0.339305461390323,143.75,21,0,0,0,1
"229","Hi000","Hi000_30",9,52.75,143.75,0.367922442033664,171,27.25,0,0,0,1
"230","Hi000","Hi000_30",10,50.75,171,0.29879152890764,197.25,26.25,0,0,0,1
"231","Hi000","Hi000_31",1,10.75,20,0.5375,26.25,6.25,0,0,0,0
"232","Hi000","Hi000_31",2,15,26.25,0.565659340659341,34.25,8,0,0,0,0
"233","Hi000","Hi000_31",3,21.75,34.25,0.644850272232305,45.5,11.25,0,0,0,0
"234","Hi000","Hi000_31",4,26.25,45.5,0.568732370997179,59.25,13.75,0,0,0,0
